n	municipio	COREDE	area_ex	irriga	financ_veg	financ_pec	assist_veg	assis_pec	est_colheita	est_trator	est_adubo	colheita	trator	estab_rebanho	gado	pea	pop	valor_veg	receita_veg	valor_bov	ideese
85	rolador	missoes	0.002693630634	0.0006775067751	0.005098656939	0.003880983182	0.006446522403	0.008257638315	0.003597371152	0.004250644761	0.006852854331	0.003411695719	0.003516570078	0.007279733269	0.002495390433	0.004991686667	0.001482684136	0.004039433985	0.004189394696	0.003069094194	0.9235248902
86	roque_gonzales	missoes	0.003342196913	0.0283197832	0.00754435417	0.01155670548	0.009317239411	0.01114781173	0.004635074369	0.007832648773	0.01044537402	0.004317927395	0.006062566815	0.01084461057	0.005996942743	0.009740056258	0.004271191477	0.003088958025	0.002367110667	0.009186357974	0.8423166475
87	rosario_do_sul	fronteira_oeste	0.04705106814	0.02222222222	0.004476869508	0.03423889608	0.004969194353	0.03494013212	0.009823590453	0.01306237463	0.008661417323	0.01380670611	0.01717492826	0.01817049112	0.05969593415	0.01985246137	0.02401005042	0.02069525827	0.02276465534	0.02911522795	0.9477484255
88	saldanha_marinho	alto_jacui	0.002310517368	0.000135501355	0.006259326811	0.002759810263	0.003340775933	0.001290255987	0.006295399516	0.003844684306	0.002952755906	0.005970467509	0.004909131829	0.002111238016	0.001393034367	0.00258432227	0.001679589305	0.00535800349	0.004835911687	0.003619047489	1.123912993
89	salto_do_jacui	alto_jacui	0.00454307286	0.002845528455	0.006134969325	0.00120741699	0.006043614753	0.00193538398	0.004427533725	0.003820804279	0.004638287402	0.005384082307	0.004388679458	0.004499359707	0.001161665337	0.005065419114	0.007363310082	0.008829767432	0.0104698581	0.002352198915	0.7633387012
90	salvador_das_missoes	missoes	0.0008746796329	0.001761517615	0.002943127176	0.007330746011	0.002820353551	0.004619116433	0.002282947077	0.004298404814	0.004170767717	0.002718695026	0.003840094525	0.003668708684	0.001702783847	0.003782474535	0.001636553146	0.001670173826	0.0008923793038	0.006400655759	1.024987011
91	sananduva	nordeste	0.004813428383	0.005691056911	0.02246725253	0.01974989219	0.01527691507	0.01055429397	0.01328260118	0.01893686121	0.01609251969	0.01183431953	0.01454453384	0.01334810046	0.003498408709	0.0124017976	0.009572303107	0.008248451132	0.007974152065	0.009183173795	1.192306361
92	santa_barbara_do_sul	alto_jacui	0.01154899964	0.00433604336	0.01251865362	0.002328589909	0.009300451592	0.002477291495	0.01404358354	0.007235648104	0.007468011811	0.01625886241	0.01163281382	0.00431477059	0.002668288485	0.006477395475	0.005125429772	0.02612952444	0.02918539656	0.005200674955	1.035936394
93	santa_cecilia_do_sul	nordeste	0.002043031607	0.00216802168	0.005761896866	0.006382061233	0.00473416489	0.003354665566	0.005534417157	0.005349125991	0.004872047244	0.004904312597	0.005035728352	0.003311067271	0.001080560433	0.00479260906	0.0009992642585	0.003655206583	0.002854056113	0.004547690708	1.159245709
94	santa_margarida_do_sul	fronteira_oeste	0.01085403887	0.006639566396	0.002735864699	0.004484691677	0.002719626639	0.00879954583	0.005188516084	0.004799885376	0.003334153543	0.006237006237	0.006386091262	0.00479931702	0.008559606237	0.005603665977	0.001485042282	0.008418105369	0.009815818328	0.006877600366	0.9555495086
95	sant'ana_do_livramento	fronteira_oeste	0.08049252774	0.02330623306	0.006466589289	0.04044846917	0.0102909329	0.06002270851	0.01120719474	0.02208902474	0.01622785433	0.01263393571	0.02084622742	0.03120709745	0.1074987876	0.03043306753	0.0485259231	0.01464534695	0.01646693378	0.0624983937	1.003043912
96	santo_angelo	missoes	0.005662878022	0.005962059621	0.01239429614	0.006382061233	0.01475649269	0.008489884393	0.01992390176	0.0153548572	0.01382874016	0.01780478704	0.01325043605	0.01197521891	0.003944800044	0.0108018035	0.0466329216	0.008953436628	0.008479506208	0.008907514823	1.149710036
97	santo_antonio_das_missoes	missoes	0.01754799857	0.009214092141	0.004849941967	0.01276412247	0.006614400591	0.02092795211	0.00760982359	0.008238609227	0.008280019685	0.009435470974	0.009086817082	0.0134288582	0.02538562553	0.01241654409	0.006514967151	0.0121990423	0.01212557882	0.01505821249	0.8697631117
